semester,course,type,track,prerequisite
Fall 1,Freshman Seminar 1,Foundation,,
Fall 1,Calculus 1,Math,,
Fall 1,Discrete Math,Math,,
Fall 1,Intro to Computer Science,Core,,
Fall 1,Gen-Ed 1,Gen-Ed,,

Spring 1,Freshman Seminar 2,Foundation,,Freshman Seminar 1
Spring 1,Calculus 2,Math,,Calculus 1
Spring 1,Linear Algebra,Math,,
Spring 1,Intro to Object-Oriented Programming,Core,,Intro to Computer Science
Spring 1,Gen-Ed 2,Gen-Ed,, 

Fall 2,Calculus 3,Math,,Calculus 2 and Linear Algebra
Fall 2,Computer Organization,Core,,Intro to Object-Oriented Programming
Fall 2,Armenian Language & Literature 1,Foundation,,Freshman Seminar 2
Fall 2,Data Structures,Core,,Intro to Object-Oriented Programming and Discrete Math
Fall 2,Gen-Ed 3,Gen-Ed,, 

Spring 2,Real Analysis,Math,,Calculus 3
Spring 2,Probability,Math,,Calculus 2 and Discrete Math
Spring 2,Introduction to Algorithms,Core,,Data Structures
Spring 2,Gen-Ed 4,Gen-Ed,,
Spring 2,Armenian Language & Literature 2,Foundation,,Armenian Language & Literature 1

Fall 3,Armenian History 1,Foundation,,Armenian Language & Literature 2
Fall 3,Numerical Analysis,Math,,Linear Algebra and Calculus 2
Fall 3,Databases,Core,,Data Structures
Fall 3,Statistics,Math,,Probability
Fall 3,Gen-Ed 5,Gen-Ed,, 

Spring 3,Optimization,Math,,Calculus 3 and Numerical Analysis
Spring 3,Mechanics,Core,,Calculus 2
Spring 3,Track Elective 1,Track Elective,,
Spring 3,Gen-Ed 6,Gen-Ed,,
Spring 3,Armenian History 2,Foundation,,Armenian History 1

Fall 4,Track Elective 2,Track Elective,,
Fall 4,Track Elective 3,Track Elective,,
Fall 4,Free Elective 1,Free Elective,,
Fall 4,Gen-Ed 7,Gen-Ed,,
Fall 4,Gen-Ed 8,Gen-Ed,,

Spring 4,Track Elective 4,Track Elective,,
Spring 4,Capstone,Core,,
Spring 4,Gen-Ed 9,Gen-Ed,,
Spring 4,Free Elective 2,Free Elective,,
Spring 4,Free Elective 3,Free Elective,,